U+1F36F	{ 🍯 }	[ 蜂蜜 ]
U+1F95B	{ 🥛 }	[ 牛奶, 奶 ]
U+1FAD7	{ 🫗 }	[ 傾倒 ]
U+1F37C	{ 🍼 }	[ 奶樽 ]
U+1FAD6	{ 🫖 }	[ 茶壺 ]
U+2615 U+FE0F	{ ☕️ }	[ 熱飲 ]
U+1F375	{ 🍵 }	[ 茶杯, 杯茶 ]
U+1F9C3	{ 🧃 }	[ 果汁 ]
U+1F964	{ 🥤 }	[ 外帶杯, 外賣杯 ]
U+1F9CB	{ 🧋 }	[ 奶茶, 珍珠奶茶 ]
U+1F376	{ 🍶 }	[ 日本清酒, 清酒 ]
U+1F37A	{ 🍺 }	[ 啤酒, 啤 ]
U+1F37B	{ 🍻 }	[ 飲杯, 飲勝 ]
U+1F942	{ 🥂 }	[ 飲杯, 飲勝 ]
U+1F377	{ 🍷 }	[ 酒杯, 紅酒 ]
U+1F943	{ 🥃 }	[ 平底杯 ]
U+1F378	{ 🍸 }	[ 雞尾酒 ]
U+1F379	{ 🍹 }	[ 冷飲 ]
U+1F9C9	{ 🧉 }	[ 瑪黛茶, 瑪黛 ]
U+1F37E	{ 🍾 }	[ 開香檳, 香檳 ]
U+1F9CA	{ 🧊 }	[ 冰, 冰塊 ]
U+1F944	{ 🥄 }	[ 調羹, 匙羹, 湯匙 ]
U+1F374	{ 🍴 }	[ 刀叉 ]
U+1F37D	{ 🍽 }	[ 餐具 ]
U+1F963	{ 🥣 }	[ 碗勺 ]
U+1F961	{ 🥡 }	[ 外賣盒 ]
U+1F962	{ 🥢 }	[ 箸, 筷子, 筷 ]
U+1F9C2	{ 🧂 }	[ 鹽, 鹽樽 ]
