1F4B0	{ 💰 }	錢(cin4; cin2), 錢袋(cin4 doi6; cin4 doi2), 錢銀(cin4 ngan4; cin2 ngan2), 錢財(cin4 coi4)
1F4B3	{ 💳 }	信用咭(seon3 jung6 kaat1), 銀行咭(ngan4 hong4 kaat1), 信用卡(seon3 jung6 kaat1; seon3 jung6 kaa1), 銀行卡(ngan4 hong4 kaat1; ngan4 hong4 kaa1)
1FAAA	{ 🪪 }	身份證(san1 fan2 zing3)
1F48E	{ 💎 }	鑽石(zyun3 sek6), 鑽(zyun3), 金剛石(gam1 gong1 sek6)
2696.FE0F	{ ⚖️ }	天平(tin1 ping4), 秤(cing3)
1FA9C	{ 🪜 }	人字梯(jan4 zi6 tai1), 梯(tai1)
1F9F0	{ 🧰 }	工具箱(gung1 geoi6 soeng1)
1FA9B	{ 🪛 }	螺絲批(lo4 si1 pai1), 螺絲刀(lo4 si1 dou1)
1F527	{ 🔧 }	扳手(baan2 sau2), 士巴拿(si6 baa1 naa2; si6 baa1 naa4)
1F528	{ 🔨 }	錘(ceoi4), 鐵錘(tit3 ceoi4)
2692	{ ⚒ }	錘(ceoi4), 鐵錘(tit3 ceoi4)
1F6E0	{ 🛠 }	架撐(gaa3 caang1), 架生(gaa3 saang1)
26CF	{ ⛏ }	鎬(gou2), 鐵鎬(tit3 gou2)
1FA9A	{ 🪚 }	手鋸(sau2 geoi3), 鋸(geoi3)
1F529	{ 🔩 }	螺絲(lo4 si1)
2699.FE0F	{ ⚙️ }	齒輪(ci2 leon4)
1FAA4	{ 🪤 }	捕鼠器(bou6 syu2 hei3), 老鼠夾(lou5 syu2 gaap3), 老鼠籠(lou5 syu2 lung4)
1F9F1	{ 🧱 }	磚(zyun1), 磚頭(zyun1 tau4), 磚塊(zyun1 faai3)
26D3	{ ⛓ }	鐵鏈(tit3 lin4), 鏈(lin4)
26D3.FE0F.200D.1F4A5	{ ⛓️‍💥 }	破鏈(po3 lin4), 斷鏈(tyun5 lin4), 鐵鏈(tit3 lin4), 鏈(lin4)
1F9F2	{ 🧲 }	攝石(sip3 sek6), 磁鐵(ci4 tit3), 磁石(ci4 sek6)
1F52B	{ 🔫 }	槍(coeng1), 手槍(sau2 coeng1), 槍械(coeng1 haai6), 銃(cung3), 手銃(sau2 cung3), 銃械(cung3 haai6), 開槍(hoi1 coeng1), 武器(mou5 hei3), 水槍(seoi2 coeng1)
1F4A3	{ 💣 }	炸彈(zaa3 daan2)
1F9E8	{ 🧨 }	爆竹(baau3 zuk1), 炮仗(paau3 zoeng2), 鞭炮(bin1 paau3), 炮竹(paau3 zuk1), 炮(paau3)
1FA93	{ 🪓 }	斧(fu2), 斧頭(fu2 tau4; fu2 tau2)
1F52A	{ 🔪 }	刀(dou1), 菜刀(coi3 dou1)
1F5E1	{ 🗡 }	劍(gim3)
2694.FE0F	{ ⚔️ }	劍(gim3), 兵器(bing1 hei3), 武器(mou5 hei3)
1F6E1	{ 🛡 }	盾(teon5), 盾牌(teon5 paai4)
1F6AC	{ 🚬 }	菸(jin1), 香菸(hoeng1 jin1), 食菸(sik6 jin1), 食支菸(sik6 zi1 jin1), 嗦菸(sok3 jin1), 嗦啖菸(sok3 daam6 jin1), 嗦支菸(sok3 zi1 jin1), 吸菸(kap1 jin1)
26B0.FE0F	{ ⚰️ }	棺材(gun1 coi4), 棺(gun1)
1FAA6	{ 🪦 }	墓碑(mou6 bei1), 墓(mou6), 墳墓(fan4 mou6), 墳(fan4)
26B1.FE0F	{ ⚱️ }	骨灰盒(gwat1 fui1 hap6; gwat1 fui1 hap2), 骨灰甕(gwat1 fui1 ung3), 骨灰盅(gwat1 fui1 zung1), 骨灰瓶(gwat1 fui1 ping4), 骨灰(gwat1 fui1)
1F3FA	{ 🏺 }	雙耳瓶(soeng1 ji5 ping4)
1F52E	{ 🔮 }	水晶球(seoi2 zing1 kau4)
1F4FF	{ 📿 }	念珠(nim6 zyu1), 佛珠(fat6 zyu1)
1F9FF	{ 🧿 }	惡魔之眼(ok3 mo1 zi1 ngaan5)
1FAAC	{ 🪬 }	惡魔之眼(ok3 mo1 zi1 ngaan5)
1F488	{ 💈 }	髮廊(faat3 long4), 理髮店(lei5 faat3 dim3), 理髮(lei5 faat3), 剪髮(zin2 faat3), 飛髮(fei1 faat3)
2697.FE0F	{ ⚗️ }	蒸餾器(zing1 lau6 hei3)
1F52D	{ 🔭 }	望遠鏡(mong6 jyun5 geng3)
1F52C	{ 🔬 }	顯微鏡(hin2 mei4 geng3)
1F573.FE0F	{ 🕳️ }	𥥅(lung1), 窿(lung1), 井(zeng2; zing2), 洞(dung6)
1FA7B	{ 🩻 }	倫琴射線(leon4 kam4 se6 sin3)
1FA79	{ 🩹 }	膠布(gaau1 bou3), 創可貼(cong3 ho2 tip3)
1FA7A	{ 🩺 }	聽診器(teng1 can2 hei3)
1F48A	{ 💊 }	膠囊(gaau1 nong4), 藥(joek6), 藥丸(joek6 jyun2)
1F489	{ 💉 }	針筒(zam1 tung2), 打針(daa2 zam1), 拮針(gat1 zam1)
1FA78	{ 🩸 }	血滴(hyut3 dik1), 流血(lau4 hyut3)
1F9EC	{ 🧬 }	脫氧核糖核酸(tyut3 joeng5 hat6 tong4 hat6 syun1), 遺傳物質(wai4 cyun4 mat6 zat1), 基因(gei1 jan1)
