U+1F927	{ 🤧 }	[ 乞嗤, 打乞嗤 ]
U+1F637	{ 😷 }	[ 戴口罩 ]
U+1F912	{ 🤒 }	[ 發燒, 探熱, 量體溫 ]
U+1F915	{ 🤕 }	[ 繃帶, 纏繃帶 ]
U+1F911	{ 🤑 }	[ 錢迷 ]
U+1F920	{ 🤠 }	[ 戴帽 ]
U+1F608	{ 😈 }	[ 惡魔 ]
U+1F47F	{ 👿 }	[ 惡魔 ]
U+1F479	{ 👹 }	[ 惡鬼 ]
U+1F47A	{ 👺 }	[ 惡鬼 ]
U+1F921	{ 🤡 }	[ 小丑 ]
U+1F4A9	{ 💩 }	[ 屎, 大便 ]
U+1F47B	{ 👻 }	[ 幽靈, 鬼面, 鬼馬 ]
U+1F480	{ 💀 }	[ 頭骨, 骷髏頭, 骷髏頭頭, 骷髏 ]
U+2620 U+FE0F	{ ☠️ }	[ 骷髏 ]
U+1F47D	{ 👽 }	[ 外星人 ]
U+1F47E	{ 👾 }	[ 怪獸, 小精靈 ]
U+1F916	{ 🤖 }	[ 機械人, 機器人 ]
U+1F383	{ 🎃 }	[ 南瓜燈, 南瓜燈籠, 萬聖節 ]
U+1F63A	{ 😺 }	[ 大笑貓 ]
U+1F638	{ 😸 }	[ 微笑貓 ]
U+1F639	{ 😹 }	[ 流淚貓 ]
U+1F63B	{ 😻 }	[ 花癡貓 ]
U+1F63C	{ 😼 }	[ 奸笑貓 ]
U+1F63D	{ 😽 }	[ 𡃶𡃶貓 ]
U+1F640	{ 🙀 }	[ 恐懼貓 ]
U+1F63F	{ 😿 }	[ 可惜貓 ]
U+1F63E	{ 😾 }	[ 憤怒貓 ]
U+1F932	{ 🤲 }	[ 雙手向上, 雙手 ]
U+1FAF6	{ 🫶 }	[ 愛心手勢 ]
U+1F450	{ 👐 }	[ 雙手 ]
U+1F64C	{ 🙌 }	[ 歡呼, 揚手 ]
U+1F44F	{ 👏 }	[ 鼓掌, 掌聲, 好嘢 ]
U+1F91D	{ 🤝 }	[ 握手 ]
U+1F44D	{ 👍 }	[ 拇指, 大拇指, 豎拇指, 犀利, 正, 稱贊, 贊, 㔹, 掂, 掂過碌蔗 ]
U+1F44E	{ 👎 }	[ 拇指向下, 鄙視, 嘲諷, 垃圾 ]
U+270A	{ ✊ }	[ 拳頭 ]
U+1F44A	{ 👊 }	[ 打拳 ]
U+1F91B	{ 🤛 }	[ 右拳 ]
U+1F91C	{ 🤜 }	[ 左拳 ]
U+1F91E	{ 🤞 }	[ 交叉手指 ]
U+270C U+FE0F	{ ✌️ }	[ 和平手勢, 勝利手勢, 勝利, 好嘢, 手勢二 ]
U+1FAF0	{ 🫰 }	[ 錢銀, 着數 ]
U+1F91F	{ 🤟 }	[ 愛你手勢, 愛你 ]
U+1F918	{ 🤘 }	[ 觸角手勢, 搖滾手勢 ]
U+1F44C	{ 👌 }	[ 冇問題, 好 ]
U+1F90C	{ 🤌 }	[ 捏, 意大利手勢 ]
U+1F90F	{ 🤏 }	[ 捏 ]
U+1FAF3	{ 🫳 }	[ 覆手 ]
U+1FAF4	{ 🫴 }	[ 翻手 ]
U+1F448	{ 👈 }	[ 左邊 ]
U+1F449	{ 👉 }	[ 右邊 ]
U+1F446	{ 👆 }	[ 上邊 ]
U+1F447	{ 👇 }	[ 下邊 ]
U+261D U+FE0F	{ ☝️ }	[ 手勢一, 食指 ]
U+1F91A	{ 🤚 }	[ 手背 ]
U+270B	{ ✋ }	[ 舉手 ]
U+1F590 U+FE0F	{ 🖐️ }	[ 五指 ]
U+1F596	{ 🖖 }	[ 瓦肯舉手禮 ]
U+1F44B	{ 👋 }	[ 揮手, 招呼, 打招呼, 你好 ]
U+1F919	{ 🤙 }	[ 手勢六, 打電話, 電聯 ]
U+1FAF1	{ 🫱 }	[ 手向右 ]
U+1FAF2	{ 🫲 }	[ 手向左 ]
U+1F4AA	{ 💪 }	[ 二頭肌, 強壯, 肌肉, 加油, 掙扎 ]
U+1F9BE	{ 🦾 }	[ 機械手臂, 機械手 ]
U+1F595	{ 🖕 }	[ 豎中指, 中指, 鄙視, 嘲諷, 屌你, 頂你個肺 ]
U+270D U+FE0F	{ ✍️ }	[ 書寫, 寫字 ]
U+1F64F	{ 🙏 }	[ 雙手合十, 祈禱, 懇求, 唔該 ]
U+1FAF5	{ 🫵 }	[ 手指指 ]
U+1F9B6	{ 🦶 }	[ 腳底, 腳 ]
U+1F9B5	{ 🦵 }	[ 腳 ]
U+1F9BF	{ 🦿 }	[ 機械腳, 義肢 ]
U+1F484	{ 💄 }	[ 口紅 ]
U+1F48B	{ 💋 }	[ 紅脣, 脣 ]
U+1F444	{ 👄 }	[ 嘴脣, 脣 ]
U+1FAE6	{ 🫦 }	[ 咬脣, 脣 ]
U+1F9B7	{ 🦷 }	[ 牙齒, 牙, 齒 ]
U+1F445	{ 👅 }	[ 脷, 舌 ]
U+1F442	{ 👂 }	[ 耳, 耳仔, 聽 ]
U+1F9BB	{ 🦻 }	[ 助聽器 ]
U+1F443	{ 👃 }	[ 鼻, 鼻哥 ]
U+1F463	{ 👣 }	[ 腳印, 足跡 ]
U+1F441 U+FE0F	{ 👁️ }	[ 眼, 眼睛 ]
U+1F440	{ 👀 }	[ 眼, 眼睛, 睇, 睇睇, 𥄫, 𥄫𥄫, 眼望望 ]
U+1FAC0	{ 🫀 }	[ 心臟 ]
U+1FAC1	{ 🫁 }	[ 肺, 肺部 ]
U+1F9E0	{ 🧠 }	[ 大腦, 腦部 ]
U+1F5E3 U+FE0F	{ 🗣️ }	[ 演講, 講話 ]
U+1F464	{ 👤 }	[ 一人, 一個人 ]
U+1F465	{ 👥 }	[ 兩人, 雙人, 兩個人 ]
U+1FAC2	{ 🫂 }	[ 擁抱, 攬攬 ]
U+1F476	{ 👶 }	[ 嬰兒 ]
U+1F467	{ 👧 }	[ 女童, 細路女, 女孩 ]
U+1F9D2	{ 🧒 }	[ 兒童, 細路 ]
U+1F466	{ 👦 }	[ 男童, 細路仔, 男孩 ]
U+1F469	{ 👩 }	[ 女人 ]
U+1F9D1	{ 🧑 }	[ 成年人 ]
U+1F468	{ 👨 }	[ 男人 ]
U+1F469 U+200D U+1F9B1	{ 👩‍🦱 }	[ 捲髮女 ]
U+1F9D1 U+200D U+1F9B1	{ 🧑‍🦱 }	[ 捲髮人 ]
U+1F468 U+200D U+1F9B1	{ 👨‍🦱 }	[ 捲髮男 ]
U+1F469 U+200D U+1F9B0	{ 👩‍🦰 }	[ 紅髮女 ]
U+1F9D1 U+200D U+1F9B0	{ 🧑‍🦰 }	[ 紅髮人 ]
U+1F468 U+200D U+1F9B0	{ 👨‍🦰 }	[ 紅髮男 ]
U+1F471 U+200D U+2640 U+FE0F	{ 👱‍♀️ }	[ 金髮女 ]
U+1F471	{ 👱 }	[ 金髮人 ]
U+1F471 U+200D U+2642 U+FE0F	{ 👱‍♂️ }	[ 金髮男 ]
U+1F469 U+200D U+1F9B3	{ 👩‍🦳 }	[ 白髮女 ]
U+1F9D1 U+200D U+1F9B3	{ 🧑‍🦳 }	[ 白髮人 ]
U+1F468 U+200D U+1F9B3	{ 👨‍🦳 }	[ 白髮男 ]
U+1F469 U+200D U+1F9B2	{ 👩‍🦲 }	[ 光頭女, 女光頭 ]
U+1F9D1 U+200D U+1F9B2	{ 🧑‍🦲 }	[ 光頭人, 光頭 ]
U+1F468 U+200D U+1F9B2	{ 👨‍🦲 }	[ 光頭男, 光頭佬 ]
U+1F9D4 U+200D U+2640 U+FE0F	{ 🧔‍♀️ }	[ 鬍鬚女 ]
U+1F9D4	{ 🧔 }	[ 鬍鬚人, 鬍鬚 ]
U+1F9D4 U+200D U+2642 U+FE0F	{ 🧔‍♂️ }	[ 鬍鬚男, 鬍鬚佬, 鬍鬚 ]
U+1F475	{ 👵 }	[ 老女人, 老婆婆, 婆婆, 阿婆, 阿嫲, 嫲嫲, 外婆 ]
U+1F9D3	{ 🧓 }	[ 老人, 長者 ]
U+1F474	{ 👴 }	[ 老男人, 老爺爺, 爺爺, 阿爺, 阿公, 公公, 老阿伯, 阿伯, 外公 ]
U+1F472	{ 👲 }	[ 瓜皮帽 ]
U+1F473 U+200D U+2640 U+FE0F	{ 👳‍♀️ }	[ 頭巾女, 戴頭巾, 頭巾 ]
U+1F473	{ 👳 }	[ 頭巾人, 戴頭巾, 頭巾 ]
U+1F473 U+200D U+2642 U+FE0F	{ 👳‍♂️ }	[ 頭巾男, 頭巾佬, 戴頭巾, 頭巾 ]
U+1F9D5	{ 🧕 }	[ 包頭巾, 戴頭巾, 頭巾 ]
U+1F46E U+200D U+2640 U+FE0F	{ 👮‍♀️ }	[ 女警察, 女差人, 差婆 ]
U+1F46E	{ 👮 }	[ 警察, 差人 ]
U+1F46E U+200D U+2642 U+FE0F	{ 👮‍♂️ }	[ 男警察, 男差人, 差佬 ]
U+1F477 U+200D U+2640 U+FE0F	{ 👷‍♀️ }	[ 女建築工人 ]
U+1F477	{ 👷 }	[ 建築工人 ]
U+1F477 U+200D U+2642 U+FE0F	{ 👷‍♂️ }	[ 男建築工人 ]
U+1F482	{ 💂 }	[ 衛兵, 守衛 ]
U+1F482 U+200D U+2640 U+FE0F	{ 💂‍♀️ }	[ 女衛兵, 女守衛 ]
U+1F482 U+200D U+2642 U+FE0F	{ 💂‍♂️ }	[ 男衛兵, 男守衛 ]
U+1F575 U+FE0F U+200D U+2640 U+FE0F	{ 🕵️‍♀️ }	[ 女偵探 ]
U+1F575 U+FE0F	{ 🕵️ }	[ 偵探 ]
U+1F575 U+FE0F U+200D U+2642 U+FE0F	{ 🕵️‍♂️ }	[ 男偵探 ]
