U+1F99C	{ 🦜 }	[ 鸚鵡 ]
U+1F9A2	{ 🦢 }	[ 天鵝 ]
U+1F9A9	{ 🦩 }	[ 火烈鳥 ]
U+1F54A U+FE0F	{ 🕊️ }	[ 白鴿, 鴿, 和平鴿 ]
U+1F407	{ 🐇 }	[ 兔, 兔仔 ]
U+1F99D	{ 🦝 }	[ 浣熊 ]
U+1F9A8	{ 🦨 }	[ 臭鼬 ]
U+1F9A1	{ 🦡 }	[ 獾 ]
U+1F9AB	{ 🦫 }	[ 海狸 ]
U+1F9A6	{ 🦦 }	[ 水獺 ]
U+1F9A5	{ 🦥 }	[ 樹懶 ]
U+1F401	{ 🐁 }	[ 白鼠, 老鼠 ]
U+1F400	{ 🐀 }	[ 老鼠 ]
U+1F43F U+FE0F	{ 🐿️ }	[ 松鼠 ]
U+1F994	{ 🦔 }	[ 刺蝟 ]
U+1F43E	{ 🐾 }	[ 腳印 ]
U+1F409	{ 🐉 }	[ 龍 ]
U+1F432	{ 🐲 }	[ 龍, 龍頭 ]
U+1F335	{ 🌵 }	[ 仙人掌 ]
U+1F384	{ 🎄 }	[ 聖誕樹, 聖誕 ]
U+1F332	{ 🌲 }	[ 常青樹, 常綠喬木, 松樹 ]
U+1F333	{ 🌳 }	[ 樹 ]
U+1F334	{ 🌴 }	[ 棕櫚樹, 棕櫚 ]
U+1FAB5	{ 🪵 }	[ 木頭 ]
U+1F331	{ 🌱 }	[ 幼苗 ]
U+1F33F	{ 🌿 }	[ 藥草, 中藥 ]
U+2618 U+FE0F	{ ☘️ }	[ 三葉草 ]
U+1F340	{ 🍀 }	[ 四葉草, 幸運草 ]
U+1F38D	{ 🎍 }	[ 松樹裝飾, 節節高, 門松, 竹節 ]
U+1FAB4	{ 🪴 }	[ 盆栽 ]
U+1F38B	{ 🎋 }	[ 七夕樹, 許願樹, 許願, 七夕節 ]
U+1F343	{ 🍃 }	[ 吹風落葉, 葉子, 綠葉 ]
U+1F342	{ 🍂 }	[ 落葉, 枯葉 ]
U+1F341	{ 🍁 }	[ 楓葉 ]
U+1FABA	{ 🪺 }	[ 雀仔蛋, 雀仔膥 ]
U+1FAB9	{ 🪹 }	[ 雀仔竇 ]
U+1F344	{ 🍄 }	[ 蘑菇 ]
U+1F41A	{ 🐚 }	[ 海貝, 扇貝, 貝殼 ]
U+1FAB8	{ 🪸 }	[ 珊瑚 ]
U+1FAA8	{ 🪨 }	[ 石頭 ]
U+1F33E	{ 🌾 }	[ 水稻 ]
U+1F490	{ 💐 }	[ 鮮花 ]
U+1F337	{ 🌷 }	[ 鬱金香 ]
U+1F339	{ 🌹 }	[ 玫瑰, 玫瑰花 ]
U+1F940	{ 🥀 }	[ 枯萎 ]
U+1FAB7	{ 🪷 }	[ 蓮花 ]
U+1F33A	{ 🌺 }	[ 芙蓉, 芙蓉花 ]
U+1F338	{ 🌸 }	[ 櫻花 ]
U+1F33C	{ 🌼 }	[ 黃花, 雛菊 ]
U+1F33B	{ 🌻 }	[ 向日葵 ]
U+1F31E	{ 🌞 }	[ 太陽, 熱頭, 日頭 ]
U+1F31D	{ 🌝 }	[ 月亮 ]
U+1F31B	{ 🌛 }	[ 彎月 ]
U+1F31C	{ 🌜 }	[ 彎月 ]
U+1F31A	{ 🌚 }	[ 黑月亮, 月亮 ]
U+1F315	{ 🌕 }	[ 滿月 ]
U+1F316	{ 🌖 }	[ 虧凸月 ]
U+1F317	{ 🌗 }	[ 半月 ]
U+1F318	{ 🌘 }	[ 四分之一月亮 ]
U+1F311	{ 🌑 }	[ 冇月亮 ]
U+1F312	{ 🌒 }	[ 四分之一月亮 ]
U+1F313	{ 🌓 }	[ 半月 ]
U+1F314	{ 🌔 }	[ 四分之三月亮 ]
U+1F319	{ 🌙 }	[ 殘月, 彎月, 月亮 ]
U+1F30E	{ 🌎 }	[ 美洲, 地球 ]
U+1F30D	{ 🌍 }	[ 歐洲, 地球 ]
U+1F30F	{ 🌏 }	[ 亞洲, 地球 ]
U+1FA90	{ 🪐 }	[ 行星 ]
U+1F4AB	{ 💫 }	[ 頭暈目眩, 暈頭轉向, 頭暈, 眩暈 ]
U+2B50 U+FE0F	{ ⭐️ }	[ 星星 ]
U+1F31F	{ 🌟 }	[ 星光 ]
U+2728	{ ✨ }	[ 閃亮, 閃光 ]
U+26A1 U+FE0F	{ ⚡️ }	[ 閃電 ]
U+2604 U+FE0F	{ ☄️ }	[ 彗星 ]
U+1F4A5	{ 💥 }	[ 撞擊 ]
U+1F525	{ 🔥 }	[ 火, 火焰 ]
U+1F32A	{ 🌪 }	[ 龍捲風 ]
U+1F308	{ 🌈 }	[ 彩虹 ]
U+2600 U+FE0F	{ ☀️ }	[ 太陽, 熱頭, 日頭, 陽光 ]
U+1F324	{ 🌤 }	[ 少雲 ]
U+26C5 U+FE0F	{ ⛅️ }	[ 晴轉多雲, 陰天 ]
U+1F325	{ 🌥 }	[ 多雲 ]
U+2601 U+FE0F	{ ☁️ }	[ 雲 ]
U+1F326	{ 🌦 }	[ 太陽雨 ]
U+1F327	{ 🌧 }	[ 落雨 ]
U+26C8	{ ⛈ }	[ 雷陣雨 ]
U+1F329	{ 🌩 }	[ 行雷, 閃電, 行雷閃電 ]
U+1F328	{ 🌨 }	[ 雨夾雪 ]
U+2744 U+FE0F	{ ❄️ }	[ 落雪 ]
U+2603 U+FE0F	{ ☃️ }	[ 雪人 ]
U+26C4 U+FE0F	{ ⛄️ }	[ 雪人 ]
U+1F32C	{ 🌬 }	[ 吹風 ]
U+1F4A8	{ 💨 }	[ 陣風 ]
U+1F4A7	{ 💧 }	[ 水滴 ]
U+1F4A6	{ 💦 }	[ 水滴 ]
U+1FAE7	{ 🫧 }	[ 氣泡 ]
U+2614 U+FE0F	{ ☔️ }	[ 遮雨 ]
U+2602 U+FE0F	{ ☂️ }	[ 遮, 擔遮 ]
U+1F30A	{ 🌊 }	[ 波浪, 海浪 ]
U+1F32B	{ 🌫 }	[ 霧 ]
