惡魔	ok3 mo1
惡鬼	ok3 gwai2
小丑	siu2 cau2
屎	si2
大便	daai6 bin6
幽靈	jau1 ling4
鬼面	gwai2 min6
鬼馬	gwai2 maa5
頭骨	tau4 gwat1
骷髏頭	fu1 lou4 tau4
骷髏頭頭	fu1 lou4 tau4 tau4
骷髏	fu1 lau4
外星人	ngoi6 sing1 jan4
怪獸	gwaai3 sau3
小精靈	siu2 zing1 ling4
機械人	gei1 haai6 jan4
機器人	gei1 hei3 jan4
南瓜燈	naam4 gwaa1 dang1
南瓜燈籠	naam4 gwaa1 dang1 lung4
萬聖節	maan6 sing3 zit3
大笑貓	daai6 siu3 maau1
微笑貓	mei4 siu3 maau1
流淚貓	lau4 leoi6 maau1
花癡貓	faa1 ci1 maau1
奸笑貓	gaan1 siu3 maau1
𡃶𡃶貓	sek3 sek3 maau1
恐懼貓	hung2 geoi6 maau1
可惜貓	ho2 sik1 maau1
憤怒貓	fan5 nou6 maau1
雙手向上	soeng1 sau2 hoeng3 soeng6
雙手	soeng1 sau2
愛心手勢	oi3 sam1 sau2 sai3
歡呼	fun1 fu1
揚手	joeng4 sau2
鼓掌	gu2 zoeng2
掌聲	zoeng2 sing1
握手	ak1 sau2
拇指	mou5 zi2
大拇指	daai6 mou5 zi2
豎拇指	syu6 mou5 zi2
犀利	sai1 lei6
稱贊	cing1 zaan3
贊	zaan3
㔹	lek1
叻	lek1
掂	dim6
掂過碌蔗	dim6 gwo3 luk1 ze3
拇指向下	mou5 zi2 hoeng3 haa6
鄙視	pei2 si6
嘲諷	zaau1 fung3
垃圾	laap6 saap3
拳頭	kyun4 tau4
打拳	daa2 kyun4
打拳	daa2 kyun2
右拳	jau6 kyun4
左拳	zo2 kyun4
向左推	hoeng3 zo2 teoi1
向右推	hoeng3 jau6 teoi1
交叉手指	gaau1 caa1 sau2 zi2
和平手勢	wo4 ping4 sau2 sai3
勝利手勢	sing3 lei6 sau2 sai3
勝利	sing3 lei6
手勢二	sau2 sai3 ji6
二	ji6
錢銀	cin2 ngan2
着數	zoek6 sou3
愛你手勢	oi3 nei5 sau2 sai3
愛你	oi3 nei5
觸角手勢	cuk1 gok3 sau2 sai3
搖滾手勢	jiu4 gwan2 sau2 sai3
冇問題	mou5 man6 tai4
好	hou2
捏	nip6
意大利手勢	ji3 daai6 lei6 sau2 sai3
覆手	fuk1 sau2
翻手	faan1 sau2
左邊	zo2 bin1
左邊	zo2 bin6
右邊	jau6 bin1
右邊	jau6 bin6
上邊	soeng6 bin1
上邊	soeng6 bin6
下邊	haa6 bin6
下邊	haa6 bin1
食指	sik6 zi2
手勢一	sau2 sai3 jat1
一	jat1
手背	sau2 bui3
舉手	geoi2 sau2
五指	ng5 zi2
手勢五	sau2 sai3 ng5
五	ng5
