96F6	{ 零 }	大寫〇(daai6 se2 ling4)
32BC	{ ㊼ }	四十七(sei3 sap6 cat1)
32BD	{ ㊽ }	四十八(sei3 sap6 baat3)
32BE	{ ㊾ }	四十九(sei3 sap6 gau2)
32BF	{ ㊿ }	五十(ng5 sap6)
3007	{ 〇 }	蘇州碼零(sou1 zau1 maa5 ling4), 草碼零(cou2 maa5 ling4), 花碼零(faa1 maa5 ling4)
3021	{ 〡 }	蘇州碼一(sou1 zau1 maa5 jat1), 草碼一(cou2 maa5 jat1), 花碼一(faa1 maa5 jat1)
3022	{ 〢 }	蘇州碼二(sou1 zau1 maa5 ji6), 草碼二(cou2 maa5 ji6), 花碼二(faa1 maa5 ji6)
3023	{ 〣 }	蘇州碼三(sou1 zau1 maa5 saam1), 草碼三(cou2 maa5 saam1), 花碼三(faa1 maa5 saam1)
3024	{ 〤 }	蘇州碼四(sou1 zau1 maa5 sei3), 草碼四(cou2 maa5 sei3), 花碼四(faa1 maa5 sei3)
3025	{ 〥 }	蘇州碼五(sou1 zau1 maa5 ng5), 草碼五(cou2 maa5 ng5), 花碼五(faa1 maa5 ng5)
3026	{ 〦 }	蘇州碼六(sou1 zau1 maa5 luk6), 草碼六(cou2 maa5 luk6), 花碼六(faa1 maa5 luk6)
3027	{ 〧 }	蘇州碼七(sou1 zau1 maa5 cat1), 草碼七(cou2 maa5 cat1), 花碼七(faa1 maa5 cat1)
3028	{ 〨 }	蘇州碼八(sou1 zau1 maa5 baat3), 草碼八(cou2 maa5 baat3), 花碼八(faa1 maa5 baat3)
3029	{ 〩 }	蘇州碼九(sou1 zau1 maa5 gau2), 草碼九(cou2 maa5 gau2), 花碼九(faa1 maa5 gau2)
3038	{ 〸 }	蘇州碼十(sou1 zau1 maa5 sap6), 草碼十(cou2 maa5 sap6), 花碼十(faa1 maa5 sap6)
3007	{ 〇 }	算籌零(syun3 cau4 ling4)
1D360	{ 𝍠 }	算籌一(syun3 cau4 jat1)
1D361	{ 𝍡 }	算籌二(syun3 cau4 ji6)
1D362	{ 𝍢 }	算籌三(syun3 cau4 saam1)
