鴉	aa1
不可	bat1 ho2
不可飲用	bat1 ho2 jam2 jung6
不言	bat1 jin4
畢業	bat1 jip6
不悅	bat1 jyut6
筆錄	bat1 luk6
不聞	bat1 man4
不明飛行物	bat1 ming4 fei1 hang4 mat6
不明飛行物體	bat1 ming4 fei1 hang4 mat6 tai2
不滿	bat1 mun5
不死鳥	bat1 sei2 niu5
不說惡言	bat1 syut3 ok3 jin4
不說惡言猿	bat1 syut3 ok3 jin4 jyun4
不聽惡詞	bat1 ting3 ok3 ci4
不聽惡詞猿	bat1 ting3 ok3 ci4 jyun4
不准	bat1 zeon2
不知所措	bat1 zi1 so2 cou3
啤	be1
啤梨	be1 lei2
啤酒	be1 zau2
卑微	bei1 mei4
悲傷	bei1 soeng1
肶	bei2
髀	bei2
比基尼	bei2 gei1 nei4
比堅尼	bei2 gin1 nei4
比利時	bei2 lei6 si4
比薩	bei2 saat3
比心	bei2 sam1
匕首	bei2 sau2
祕	bei3
臂	bei3
秘魯	bei3 lou5
祕密	bei3 mat6
鼻	bei6
鼻哥	bei6 go1
備忘	bei6 mong4
備忘錄	bei6 mong4 luk6
備胎	bei6 toi1
鼻仔	bei6 zai2
餅	beng2
餅乾	beng2 gon1
病菌	beng6 kwan2
病字邊	beng6 zi6 bin1
病字頭	beng6 zi6 tau4
蝙	bin1
蝙蝠	bin1 fuk1
邊爐	bin1 lou4
鞭炮	bin1 paau3
扁食	bin2 sik6
變檔	bin3 dong3
變色龍	bin3 sik1 lung4
便當	bin6 dong3
便當盒	bin6 dong3 hap2
便當盒	bin6 dong3 hap6
便利店	bin6 lei6 dim3
便條	bin6 tiu4
兵	bing1
冰	bing1
乒乓	bing1 bam1
乒乓波	bing1 bam1 bo1
乒乓球	bing1 bam1 kau4
乒乓	bing1 bong1
乒乓波	bing1 bong1 bo1
乒乓球	bing1 bong1 kau4
冰島	bing1 dou2
冰毒	bing1 duk6
冰凍	bing1 dung3
冰塊	bing1 faai3
冰激凌	bing1 gik1 ling4
冰鞋	bing1 haai4
兵器	bing1 hei3
冰淇淋	bing1 kei4 lam4
冰冷	bing1 laang5
冰上曲棍球	bing1 soeng6 kuk1 gwan3 kau4
冰壺	bing1 wu4
冰壺石	bing1 wu4 sek6
冰字邊	bing1 zi6 bin1
冰字旁	bing1 zi6 pong4
丙烷	bing2 jyun4
別墅	bit6 seoi5
別針	bit6 zam1
錶	biu1
標靶	biu1 baa2
標籤	biu1 cim1
標語	biu1 jyu5
表演藝術	biu2 jin2 ngai6 seot6
波板糖	bo1 baan2 tong2
波多黎各	bo1 do1 lai4 gok3
波黑	bo1 hak1
波蘭	bo1 laan4
玻璃罐	bo1 lei1 gun3
玻璃瓶	bo1 lei1 ping4
