鴉	aa1
㧻	duk1
涿屎	duk1 si2
獨角獸	duk6 gok3 sau3
毒害	duk6 hoi6
獨木船	duk6 muk6 syun4
獨木舟	duk6 muk6 zau1
讀信	duk6 seon3
讀書	duk6 syu1
冬	dung1
東	dung1
東帝汶	dung1 dai3 man4
東京塔	dung1 ging1 taap3
冬甩	dung1 lat1
東正教	dung1 zing3 gaau3
凍	dung3
凍飲	dung3 jam2
凍甩牙	dung3 lat1 ngaa4
凍死	dung3 sei2
洞	dung6
短褲	dyun2 fu3
緞帶	dyun6 daai2
奪冠	dyut6 gun3
花	faa1
花癡	faa1 ci1
花癡貓	faa1 ci1 maau1
花菜	faa1 coi3
花束	faa1 cuk1
花朵	faa1 do2
花朵	faa1 doe2
花火	faa1 fo2
花椰菜	faa1 je4 coi3
花旗	faa1 kei4
花旗國	faa1 kei4 gwok3
花碼八	faa1 maa5 baat3
花碼七	faa1 maa5 cat1
花碼九	faa1 maa5 gau2
花碼一	faa1 maa5 jat1
花碼二	faa1 maa5 ji6
花碼零	faa1 maa5 ling4
花碼六	faa1 maa5 luk6
花碼五	faa1 maa5 ng5
花碼三	faa1 maa5 saam1
花碼十	faa1 maa5 sap6
花碼四	faa1 maa5 sei3
花豹	faa1 paau3
花灑	faa1 saa2
花生	faa1 sang1
花紙牌	faa1 zi2 paai4
化骨龍	faa3 gwat1 lung4
筷	faai3
快馬	faai3 maa5
塊石	faai3 sek6
快進	faai3 zeon3
筷子	faai3 zi2
筷箸	faai3 zyu6
翻白眼	faan1 baak6 ngaan5
番豆	faan1 dau6
番瓜	faan1 gwaa1
番茄	faan1 ke2
翻手	faan1 sau2
番薯	faan1 syu2
番薯	faan1 syu4
反白眼	faan2 baak6 ngaan5
反對	faan2 deoi3
反犬旁	faan2 hyun2 pong4
反文旁	faan2 man4 pong4
反派	faan2 paai1
反派	faan2 paai3
返回箭頭	faan2 wui4 zin3 tau4
煩躁	faan4 cou3
梵蒂岡	faan4 dai3 gong1
帆船	faan4 syun4
飯	faan6
飯店	faan6 dim3
飯盒	faan6 hap2
飯糰	faan6 tyun4
飯碗	faan6 wun2
法	faat3
發	faat3
發財	faat3 coi4
發件箱	faat3 gin6 soeng1
法官	faat3 gun1
法國	faat3 gwok3
發言	faat3 jin4
發熱	faat3 jit6
法蘭西	faat3 laan4 sai1
法輪	faat3 leon4
法羅羣島	faat3 lo4 kwan4 dou2
髮廊	faat3 long4
發射	faat3 se6
發信	faat3 seon3
發信箱	faat3 seon3 soeng1
法師	faat3 si1
法式長棍	faat3 sik1 coeng4 gwan3
法式麪包	faat3 sik1 min6 baau1
發燒	faat3 siu1
法屬波利尼西亞	faat3 suk6 bo1 lei6 nei4 sai1 aa3
法屬圭亞那	faat3 suk6 gwai1 aa3 naa5
法屬南部領地	faat3 suk6 naam4 bou6 ling5 dei6
髮挑	faat3 tiu1
發怵	faat3 zeot1
揮手	fai1 sau2
肺	fai3
肺部	fai3 bou6
廢棄房屋	fai3 hei3 fong4 uk1
廢紙簍	fai3 zi2 lau4
芬蘭	fan1 laan4
婚禮教堂	fan1 lai5 gaau3 tong2
婚禮教堂	fan1 lai5 gaau3 tong4
婚紗	fan1 saa1
婚紗男	fan1 saa1 naam4
勳章	fan1 zoeng1
粉紅愛心	fan2 hung4 oi3 sam1
粉紅心	fan2 hung4 sam1
粉紅色愛心	fan2 hung4 sik1 oi3 sam1
粉心	fan2 sam1
粉色愛心	fan2 sik1 oi3 sam1
睏	fan3
瞓	fan3
睏覺	fan3 gaau3
瞓覺	fan3 gaau3
墳	fan4
墳墓	fan4 mou6
憤怒	fan5 nou6
憤怒發言	fan5 nou6 faat3 jin4
憤怒貓	fan5 nou6 maau1
氟化氫	fat1 faa3 hing1
佛得角	fat6 dak1 gok3
佛珠	fat6 zyu1
否	fau2
否定	fau2 ding6
阜部	fau6 bou6
阜字邊	fau6 zi6 bin1
阜字旁	fau6 zi6 pong4
啡	fe1
啡色	fe1 sik1
啡色愛心	fe1 sik1 oi3 sam1
飛	fei1
飛彈	fei1 daan2
飛彈	fei1 daan6
飛碟	fei1 dip2
飛碟	fei1 dip6
飛髮	fei1 faat3
飛機	fei1 gei1
飛行	fei1 hang4
飛行員	fei1 hang4 jyun4
飛起	fei1 hei2
非飲用水	fei1 jam2 jung6 seoi2
飛鷹	fei1 jing1
非禮勿言	fei1 lai5 mat6 jin4
非禮勿視	fei1 lai5 mat6 si6
非禮勿聽	fei1 lai5 mat6 ting3
菲林	fei1 lam2
菲律賓	fei1 leot6 ban1
飛蠊	fei1 lim4
飛吻	fei1 man5
飛盤	fei1 pun4
非商業	fei1 soeng1 jip6
非商用	fei1 soeng1 jung6
飛鼠	fei1 syu2
非洲	fei1 zau1
蜚蠊	fei2 lim4
斐濟	fei2 zai3
捹頭	fing6 tau4
科特迪瓦	fo1 dak6 dik6 ngaa5
科科斯基林羣島	fo1 fo1 si1 gei1 lam4 kwan4 dou2
科學家	fo1 hok6 gaa1
科摩羅	fo1 mo1 lo4
科索沃	fo1 sok3 juk1
科威特	fo1 wai1 dak6
火	fo2
火車	fo2 ce1
火車站	fo2 ce1 zaam6
火花	fo2 faa1
火雞	fo2 gai1
火焰	fo2 jim6
火熱	fo2 jit6
火辣	fo2 laat6
火烈鳥	fo2 lit6 niu5
火苗	fo2 miu4
火山	fo2 saan1
火山噴發	fo2 saan1 pan3 faat3
火心	fo2 sam1
火星人	fo2 sing1 jan4
火燒	fo2 siu1
火鍋	fo2 wo1
火箭	fo2 zin3
火雀	fo2 zoek3
火燭	fo2 zuk1
貨幣兌換	fo3 bai6 deoi3 wun6
貨車	fo3 ce1
貨運	fo3 wan6
芳草	fong1 cou2
荒島	fong1 dou2
方塊	fong1 faai3
方根	fong1 gan1
方根號	fong1 gan1 hou6
方形	fong1 jing4
荒漠	fong1 mok6
方磚	fong1 zyun1
放大鏡	fong3 daai6 geng3
放電影	fong3 din6 jing2
放風箏	fong3 fung1 zang1
放映	fong3 jing2
放映機	fong3 jing2 gei1
放鷂	fong3 jiu2
放鷂	fong3 jiu6
放鬆	fong3 sung1
放紙鷂	fong3 zi2 jiu2
放紙鷂	fong3 zi2 jiu6
防護鏡	fong4 wu6 geng3
枯葉	fu1 jip6
骷髏	fu1 lau4
骷髏旗	fu1 lau4 kei4
骷髏頭	fu1 lou4 tau4
骷髏頭骨	fu1 lou4 tau4 gwat1
枯木	fu1 muk6
膚色	fu1 sik1
枯樹	fu1 syu6
枯萎	fu1 wai2
斧	fu2
虎	fu2
苦瓜面口	fu2 gwaa1 min6 hau2
苦惱	fu2 nou5
斧頭	fu2 tau2
斧頭	fu2 tau4
虎頭	fu2 tau4
虎字頭	fu2 zi6 tau4
褲	fu3
庫克羣島	fu3 hak1 kwan4 dou2
庫拉索	fu3 laai1 sok3
富士山	fu3 si6 saan1
符號	fu4 hou6
符號鍵盤	fu4 hou6 gin6 pun2
符號輸入	fu4 hou6 syu1 jap6
芙蓉	fu4 jung4
芙蓉花	fu4 jung4 faa1
灰心	fui1 sam1
灰色愛心	fui1 sik1 oi3 sam1
晦	fui3
晦月	fui3 jyut6
蝠	fuk1
福克蘭羣島	fuk1 hak1 laan4 kwan4 dou2
覆手	fuk1 sau2
輻射	fuk1 se6
複數	fuk1 sou3
服務犬	fuk6 mou6 hyun2
服務鈴	fuk6 mou6 ling4
服務商標	fuk6 mou6 soeng1 biu1
復活節島	fuk6 wut6 zit3 dou2
獾	fun1
歡呼	fun1 fu1
歡喜	fun1 hei2
歡喜你	fun1 hei2 nei5
歡笑	fun1 siu3
楓	fung1
蜂	fung1
風	fung1
封包	fung1 baau1
風車國	fung1 ce1 gwok3
封口	fung1 hau2
風衣	fung1 ji1
楓葉	fung1 jip6
楓葉國	fung1 jip6 gwok3
風褸	fung1 lau1
風鈴	fung1 ling4
蜂蜜	fung1 mat6
風信子	fung1 seon3 zi2
風箏	fung1 zang1
封裝	fung1 zong1
縫衣針	fung4 ji1 zam1
鳳梨	fung6 lei4
鳳凰	fung6 wong4
加	gaa1
豭	gaa1
加減	gaa1 gaam2
加減號	gaa1 gaam2 hou6
加號	gaa1 hou6
加油	gaa1 jau2
加油站	gaa1 jau2 zaam6
加油	gaa1 jau4
加油站	gaa1 jau4 zaam6
家禽	gaa1 kam4
伽瑪	gaa1 maa5
加拿大	gaa1 naa4 daai6
加那利羣島	gaa1 naa5 lei6 kwan4 dou2
加納	gaa1 naap6
迦納	gaa1 naap6
家雁	gaa1 ngaan6
加蓬	gaa1 pung4
家庭成員	gaa1 ting4 sing4 jyun4
假笑	gaa2 siu3
假肢	gaa2 zi1
架撐	gaa3 caang1
咖啡	gaa3 fe1
咖喱飯	gaa3 lei1 faan6
架生	gaa3 saang1
階磚	gaai1 zyun1
解鎖	gaai2 so2
戒指	gaai3 zi2
格恩西島	gaak3 jan1 sai1 dou2
格林納達	gaak3 lam4 naap6 daat6
格陵蘭	gaak3 ling4 laan4
格魯吉亞	gaak3 lou5 gat1 aa3
格仔餅	gaak3 zai2 beng2
尷	gaam1
監	gaam1
尷尬	gaam1 gaai3
減	gaam2
減號	gaam2 hou6
奸	gaan1
奸狡	gaan1 gaau2
奸計	gaan1 gai3
奸險	gaan1 him2
奸笑	gaan1 siu3
奸笑貓	gaan1 siu3 maau1
奸詐	gaan1 zaa3
梘	gaan2
柬埔寨	gaan2 bou3 zaai6
鹼式碳酸銅	gaan2 sik1 lau4 syun1 tung4
間尺	gaan3 cek2
間隔	gaan3 gaak3
間隔號	gaan3 gaak3 hou6
鴿	gaap3
甲蟲	gaap3 cung4
甲基苯丙胺	gaap3 gei1 bun2 bing2 on3
甲基安非他命	gaap3 gei1 on1 fei1 taa1 ming6
蛤𧊅	gaap3 gwaai2
甲殼蟲	gaap3 hok3 cung4
甲烷	gaap3 jyun4
夾鉗	gaap3 kim4
蛤乸	gaap3 naa2
蛤乸	gaap3 naa5
甲醇	gaap3 seon4
夾鉗	gaap6 kim2
曱甴	gaat6 zaat2
曱甴	gaat6 zaat6
膠布	gaau1 bou3
交叉	gaau1 caa1
交叉旗	gaau1 caa1 kei4
交叉手指	gaau1 caa1 sau2 zi2
交錯結構	gaau1 co3 git3 gau3
交錯結構	gaau1 co3 git3 kau3
膠囊	gaau1 nong4
膠片	gaau1 pin2
膠拖	gaau1 to1
交通燈	gaau1 tung1 dang1
交通號標	gaau1 tung1 hou6 biu1
膠桶	gaau1 tung2
餃	gaau2
攪攪震	gaau2 gaau2 zan3
狡猾	gaau2 waat6
餃子	gaau2 zi2
覺	gaau3
校暗	gaau3 am3
較淺膚色	gaau3 cin2 fu1 sik1
教學	gaau3 hok6
較深膚色	gaau3 sam1 fu1 sik1
教師	gaau3 si1
教書	gaau3 syu1
鉸剪	gaau3 zin2
鉸接貨車	gaau3 zip3 fo3 ce1
鉸接式貨車	gaau3 zip3 sik1 fo3 ce1
覺覺豬	gaau4 gaau1 zyu1
雞	gai1
雞鴨鵝	gai1 aap3 ngo4
雞肶	gai1 bei2
雞髀	gai1 bei2
雞膥	gai1 ceon1
雞蛋	gai1 daan2
雞蛋	gai1 daan6
雞冠	gai1 gun1
雞公	gai1 gung1
雞殼	gai1 hok3
雞尾酒	gai1 mei5 zau2
雞頭	gai1 tau4
雞仔	gai1 zai2
雞仔頭	gai1 zai2 tau4
計程車	gai3 cing4 ce1
計時	gai3 si4
柑	gam1
金	gam1
金髮	gam1 faat3
金髮妹	gam1 faat3 mui1
金髮男	gam1 faat3 naam4
金髮女	gam1 faat3 neoi5
金髮女郎	gam1 faat3 neoi5 long4
柑桔	gam1 gat1
金剛石	gam1 gong1 sek6
金瓜	gam1 gwaa1
金龜子	gam1 gwai1 zi2
柑橘	gam1 gwat1
金門大橋	gam1 mun4 daai6 kiu4
金門橋	gam1 mun4 kiu4
金牛座	gam1 ngau4 zo6
金牌	gam1 paai4
金穗	gam1 seoi6
柑子	gam1 zi2
金字邊	gam1 zi6 bin1
金字旁	gam1 zi6 pong4
噉都得	gam2 dou1 dak1
感動	gam2 dung6
橄欖	gam2 laam5
橄欖球	gam2 laam5 kau4
感嘆號	gam2 taan3 hou2
感嘆號	gam2 taan3 hou6
感謝	gam2 ze6
禁	gam3
禁單車	gam3 daan1 ce1
禁電話	gam3 din6 waa2
禁菸	gam3 jin1
禁手機	gam3 sau2 gei1
禁止	gam3 zi2
禁止單車	gam3 zi2 daan1 ce1
禁止抌垃圾	gam3 zi2 dam2 laap6 saap3
禁止電話	gam3 zi2 din6 waa2
禁止行人	gam3 zi2 hang4 jan4
禁止吸菸	gam3 zi2 kap1 jin1
禁止騎車	gam3 zi2 ke4 ce1
禁止垃圾	gam3 zi2 laap6 saap3
禁止亂拋垃圾	gam3 zi2 lyun6 paau1 laap6 saap3
禁止手機	gam3 zi2 sau2 gei1
禁止手提電話	gam3 zi2 sau2 tai4 din6 waa2
禁止食菸	gam3 zi2 sik6 jin1
撳鐘	gam6 zung1
根菜	gan1 coi3
根號	gan1 hou6
艮	gan3
艮卦	gan3 gwaa3
近視眼鏡	gan6 si6 ngaan5 geng3
更新	gang1 san1
羹仔	gang1 zai2
急救車	gap1 gau3 ce1
𥄫	gap6
𥄫𥄫	gap6 gap6
𥄫下	gap6 haa5
桔	gat1
吉布提	gat1 bou3 tai4
吉爾吉斯斯坦	gat1 ji5 gat1 si1 si1 taan2
吉他	gat1 taa1
拮針	gat1 zam1
吉樽	gat1 zeon1
桔子	gat1 zi2
九	gau2
狗	gau2
九次方	gau2 ci3 fong1
九點	gau2 dim2
九點半	gau2 dim2 bun3
九點正	gau2 dim2 zing3
九點鐘	gau2 dim2 zung1
九分之一	gau2 fan6 zi1 jat1
狗狗	gau2 gau2
九鍵	gau2 gin6
九萬	gau2 maan6
九索	gau2 sok3
狗頭	gau2 tau4
九筒	gau2 tung4
狗爪邊	gau2 zaau2 bin1
狗仔	gau2 zai2
購物	gau3 mat6
購物車	gau3 mat6 ce1
購物袋	gau3 mat6 doi2
救命	gau3 meng6
救生服	gau3 sang1 fuk6
救生圈	gau3 sang1 hyun1
救生衣	gau3 sang1 ji1
救護車	gau3 wu6 ce1
機車	gei1 ce1
機場	gei1 coeng4
基督教	gei1 duk1 gaau3
基督教堂	gei1 duk1 gaau3 tong2
基督教堂	gei1 duk1 gaau3 tong4
機動車道	gei1 dung6 ce1 dou6
機械腳	gei1 haai6 goek3
機械工	gei1 haai6 gung1
機械人	gei1 haai6 jan4
機械手	gei1 haai6 sau2
機械手臂	gei1 haai6 sau2 bei3
機器人	gei1 hei3 jan4
基因	gei1 jan1
肌肉	gei1 juk6
基里巴斯	gei1 lei5 baa1 si1
基佬	gei1 lou2
機長	gei1 zoeng2
幾內亞	gei2 noi6 aa3
幾內亞比紹	gei2 noi6 aa3 bei2 siu6
記	gei3
記低	gei3 dai1
記落	gei3 lok6
寄生蟲	gei3 sang1 cung4
記事簿	gei3 si6 bou6
記事本	gei3 si6 bun2
技工	gei6 gung1
忌廉	gei6 lim1
驚	geng1
鏡	geng3
鏡球	geng3 kau4
俥	geoi1
車	geoi1
居酒屋	geoi1 zau2 uk1
居酒屋燈籠	geoi1 zau2 uk1 dang1 lung4
舉重	geoi2 cung5
舉重男	geoi2 cung5 naam4
舉重女	geoi2 cung5 neoi5
矩形	geoi2 jing4
舉手	geoi2 sau2
舉手男	geoi2 sau2 naam4
舉手女	geoi2 sau2 neoi5
鋸	geoi3
颶風	geoi6 fung1
巨蟹座	geoi6 haai5 zo6
巨魔	geoi6 mo1
巨無霸	geoi6 mou4 baa3
巨石	geoi6 sek6
巨石像	geoi6 sek6 zoeng6
激情	gik1 cing4
激動	gik1 dung6
擊劍	gik1 gim3
擊鼓	gik1 gu2
激死	gik1 sei2
檢查	gim2 caa4
檢視	gim2 si6
劍	gim3
堅忍	gin1 jan2
建設	gin3 cit3
建設中	gin3 cit3 zung1
建字底	gin3 zi6 dai2
建築工	gin3 zuk1 gung1
建築工地	gin3 zuk1 gung1 dei6
建築工人	gin3 zuk1 gung1 jan4
建築施工	gin3 zuk1 si1 gung1
鍵盤	gin6 pun2
驚	ging1
驚喜	ging1 hei2
驚恐	ging1 hung2
驚奇	ging1 kei4
驚訝	ging1 ngaa6
驚怕	ging1 paa3
驚嘆號	ging1 taan3 hou2
驚嘆號	ging1 taan3 hou6
警察	ging2 caat3
警車	ging2 ce1
警車燈	ging2 ce1 dang1
警燈	ging2 dang1
警告	ging2 gou3
警示燈	ging2 si6 dang1
敬禮	ging3 lai5
勁	ging6
競技場	ging6 gei6 coeng4
競技館	ging6 gei6 gun2
結	git3
結束箭頭	git3 cuk1 zin3 tau4
結婚典禮	git3 fan1 din2 lai5
結婚戒指	git3 fan1 gaai3 zi2
結他	git3 taa1
轎車	giu2 ce1
轎車	giu6 ce1
哥爾夫	go1 ji5 fu1
哥爾夫球	go1 ji5 fu1 kau4
哥爾夫男	go1 ji5 fu1 naam4
哥爾夫女	go1 ji5 fu1 neoi5
哥倫比亞	go1 leon4 bei2 aa3
歌譜	go1 pou2
歌手	go1 sau2
哥斯達黎加	go1 si1 daat6 lai4 gaa1
腳	goek3
腳板	goek3 baan2
腳板底	goek3 baan2 dai2
腳標八	goek3 biu1 baat3
腳標七	goek3 biu1 cat1
腳標九	goek3 biu1 gau2
腳標一	goek3 biu1 jat1
腳標二	goek3 biu1 ji6
腳標零	goek3 biu1 ling4
腳標六	goek3 biu1 luk6
腳標五	goek3 biu1 ng5
腳標三	goek3 biu1 saam1
腳標四	goek3 biu1 sei3
腳踏車	goek3 daap6 ce1
腳底	goek3 dai2
腳印	goek3 jan3
薑	goeng1
殭屍	goeng1 si1
殭屍男	goeng1 si1 naam4
殭屍女	goeng1 si1 neoi5
蓋飯	goi3 faan6
角	gok3
角分	gok3 fan1
角分符號	gok3 fan1 fu4 hou6
角秒	gok3 miu5
角秒符號	gok3 miu5 fu4 hou6
角仔	gok3 zai2
角子	gok3 zi2
乾冰	gon1 bing1
乾杯	gon1 bui1
岡比亞	gong1 bei2 aa3
剛果	gong1 gwo2
剛果共和國	gong1 gwo2 gung6 wo4 gwok3
剛果民主共和國	gong1 gwo2 man4 zyu2 gung6 wo4 gwok3
江豚	gong1 tyun4
港	gong2
港幣	gong2 bai6
講大話	gong2 daai6 waa6
講多無謂	gong2 do1 mou4 wai6
講笑	gong2 siu3
講話	gong2 waa6
港紙	gong2 zi2
降	gong3
鋼筆	gong3 bat1
降調	gong3 diu6
降記號	gong3 gei3 hou6
絳河	gong3 ho4
降號	gong3 hou6
降音	gong3 jam1
降音符	gong3 jam1 fu4
降雨	gong3 jyu5
鋼琴	gong3 kam4
鋼琴鍵	gong3 kam4 gin6
降落	gong3 lok6
降落傘	gong3 lok6 saan3
降雪	gong3 syut3
割	got3
高速列車	gou1 cuk1 lit6 ce1
糕點	gou1 dim2
高架鐵路	gou1 gaa3 tit3 lou6
高跟鞋	gou1 gan1 haai4
高跟涼鞋	gou1 gan1 loeng4 haai4
高光	gou1 gwong1
高興	gou1 hing3
高陰入	gou1 jam1 jap6
高爾夫	gou1 ji5 fu1
高爾夫球	gou1 ji5 fu1 kau4
高爾夫男	gou1 ji5 fu1 naam4
高爾夫女	gou1 ji5 fu1 neoi5
高球	gou1 kau4
高麗	gou1 lai6
高亮度	gou1 loeng6 dou6
高錳酸鉀	gou1 maang5 syun1 gaap3
高帽	gou1 mou6
高山	gou1 saan1
高鐵	gou1 tit3
高踭鞋	gou1 zaang1 haai4
高踭涼鞋	gou1 zaang1 loeng4 haai4
鎬	gou2
菇	gu1
姑娘	gu1 noeng4
牯	gu2
鼓	gu2
古巴	gu2 baa1
古典建築	gu2 din2 gin3 zuk1
牯牛	gu2 ngau4
鼓掌	gu2 zoeng2
攰	gui6
癐	gui6
穀	guk1
菊	guk1
鞠躬	guk1 gung1
鞠躬男	guk1 gung1 naam4
鞠躬女	guk1 gung1 neoi5
穀類	guk1 leoi6
穀米	guk1 mai5
穀物	guk1 mat6
穀氨酸鈉	guk1 on1 syun1 naap6
穀穗	guk1 seoi6
焗飯	guk6 faan6
焗桑拿	guk6 song1 naa4
棺	gun1
棺材	gun1 coi4
觀光列車	gun1 gwong1 lit6 ce1
棺木	gun1 muk6
罐	gun3
冠軍	gun3 gwan1
灌木	gun3 muk6
罐頭	gun3 tau2
工程師	gung1 cing4 si1
工廠	gung1 cong2
工地	gung1 dei6
公交車	gung1 gaau1 ce1
公交車站	gung1 gaau1 ce1 zaam6
公雞	gung1 gai1
工具箱	gung1 geoi6 soeng1
公公	gung1 gung1
恭喜	gung1 hei2
工人	gung1 jan4
工業區	gung1 jip6 keoi1
公羊	gung1 joeng4
公文包	gung1 man4 baau1
公綿羊	gung1 min4 joeng4
公牛	gung1 ngau4
弓箭	gung1 zin3
恭祝	gung1 zuk1
公主	gung1 zyu2
公公	gung4 gung1
瓜德羅普	gwaa1 dak1 lo4 pou2
瓜皮帽	gwaa1 pei4 mou2
掛曆	gwaa3 lik6
乖巧	gwaai1 haau2
拐杖	gwaai2 zoeng2
拐杖	gwaai2 zoeng6
乖	gwaai3
怪獸	gwaai3 sau3
關島	gwaan1 dou2
關東煮	gwaan1 dung1 zyu2
關機	gwaan1 gei1
關機模式	gwaan1 gei1 mou4 sik1
關引號	gwaan1 jan5 hou6
颳風	gwaat3 fung1
龜	gwai1
圭亞那	gwai1 aa3 naa5
閨蜜	gwai1 mat6
鬼	gwai2
軌道	gwai2 dou6
軌道車	gwai2 dou6 ce1
鬼怪	gwai2 gwaai3
鬼怪	gwai2 gwaan1
鬼臉	gwai2 lim5
鬼馬	gwai2 maa5
鬼面	gwai2 min6
鬼死咁凍	gwai2 sei2 gam3 dung3
軌跡球	gwai2 zik1 kau4
貴賓狗	gwai3 ban1 gau2
貴賓犬	gwai3 ban1 hyun2
季軍	gwai3 gwan1
跪地	gwai6 dei6
跪地男	gwai6 dei6 naam4
跪地女	gwai6 dei6 neoi5
軍功	gwan1 gung1
軍功勳章	gwan1 gung1 fan1 zoeng1
橘	gwat1
骨	gwat1
骨灰	gwat1 fui1
骨灰盒	gwat1 fui1 hap2
骨灰盒	gwat1 fui1 hap6
骨灰瓶	gwat1 fui1 ping4
骨灰甕	gwat1 fui1 ung3
骨灰盅	gwat1 fui1 zung1
橘貓	gwat1 maau1
橘色	gwat1 sik1
骨頭	gwat1 tau4
骨頭肉	gwat1 tau4 juk6
橘子	gwat1 zi2
果汁	gwo2 zap1
過氧化氫	gwo3 joeng5 faa3 hing1
過山車	gwo3 saan1 ce1
國家公園	gwok3 gaa1 gung1 jyun2
國家公園	gwok3 gaa1 gung1 jyun4
蟈蟈	gwok3 gwok3
國際	gwok3 zai3
國際象棋	gwok3 zai3 zoeng6 kei2
國際象棋	gwok3 zai3 zoeng6 kei4
國字框	gwok3 zi6 hong1
光碟	gwong1 dip2
光盤	gwong1 pun2
光頭	gwong1 tau4
光頭佬	gwong1 tau4 lou2
光頭男	gwong1 tau4 naam4
光頭女	gwong1 tau4 neoi5
光環	gwong1 waan4
涓水	gyun1 seoi2
捲髮	gyun2 faat3
捲髮男	gyun2 faat3 naam4
捲髮女	gyun2 faat3 neoi5
卷一	gyun2 jat1
卷二	gyun2 ji6
捲曲環	gyun2 kuk1 waan4
卷三	gyun2 saam1
卷四	gyun2 sei3
卷紙	gyun2 zi2
卷軸	gyun2 zuk6
蝦	haa1
蝦公	haa1 gung1
哈哈	haa1 haa1
哈哈哈	haa1 haa1 haa1
哈哈哈哈	haa1 haa1 haa1 haa1
蝦米	haa1 mai5
哈密瓜	haa1 mat6 gwaa1
蝦尾	haa1 mei5
哈薩克斯坦	haa1 saat3 hak1 si1 taan2
吓	haa2
下	haa6
夏	haa6
下包上	haa6 baau1 soeng6
下包上結構	haa6 baau1 soeng6 git3 gau3
下包上結構	haa6 baau1 soeng6 git3 kau3
下邊	haa6 bin1
下邊	haa6 bin6
下標八	haa6 biu1 baat3
下標七	haa6 biu1 cat1
下標九	haa6 biu1 gau2
下標一	haa6 biu1 jat1
下標二	haa6 biu1 ji6
下標零	haa6 biu1 ling4
下標六	haa6 biu1 luk6
下標五	haa6 biu1 ng5
下標三	haa6 biu1 saam1
下標四	haa6 biu1 sei3
下低	haa6 dai1
下底	haa6 dai2
下凸月	haa6 dat6 jyut6
下跌	haa6 dit3
下方	haa6 fong1
下降	haa6 gong3
下降箭頭	haa6 gong3 zin3 tau4
下跪	haa6 gwai6
下跪男	haa6 gwai6 naam4
下跪女	haa6 gwai6 neoi5
下陰入	haa6 jam1 jap6
下弦月	haa6 jin4 jyut6
下面	haa6 min6
下退	haa6 teoi3
下肢	haa6 zi1
下指	haa6 zi2
下箭頭	haa6 zin3 tau4
鞋拖	haai2 to1
孩童	haai4 tung4
孩子	haai4 zi2
蟹	haai5
客輪	haak3 leon4
喀麥隆	haak3 mak6 lung4
嚇死	haak3 sei2
客棧	haak3 zaan2
客棧	haak3 zaan6
行雷	haang4 leoi4
行雷閃電	haang4 leoi4 sim2 din6
行星	haang4 sing1
敲代碼	haau1 doi6 maa5
敲鼓	haau1 gu2
係	hai6
黑	hak1
黑暗	hak1 am3
黑塊	hak1 faai3
黑方	hak1 fong1
黑人	hak1 jan4
克爾白	hak1 ji5 baak6
黑月亮	hak1 jyut6 loeng6
黑旗	hak1 kei4
黑拳	hak1 kyun2
黑拳	hak1 kyun4
克羅地亞	hak1 lo4 dei6 aa3
黑佬	hak1 lou2
黑貓	hak1 maau1
黑面	hak1 min6
黑妹	hak1 mui1
黑鳥	hak1 niu5
黑三角	hak1 saam1 gok3
黑山	hak1 saan1
黑心	hak1 sam1
黑手	hak1 sau2
黑色	hak1 sik1
黑色大方塊	hak1 sik1 daai6 fong1 faai3
黑色方塊	hak1 sik1 fong1 faai3
黑色方鍵	hak1 sik1 fong1 gin6
黑色方形	hak1 sik1 fong1 jing4
黑色愛心	hak1 sik1 oi3 sam1
黑色三角形	hak1 sik1 saam1 gok3 jing4
黑色小方塊	hak1 sik1 siu2 fong1 faai3
黑色雀仔	hak1 sik1 zoek3 zai2
黑色中方塊	hak1 sik1 zung1 fong1 faai3
黑桃	hak1 tou4
黑子	hak1 zi2
黑雀	hak1 zoek3
坎	ham2
坎卦	ham2 gwaa3
含淚	ham4 leoi6
懇求	han2 kau4
睏	han3
睏覺	han3 gaau3
恨	han6
恨到	han6 dou2
肯亞	hang2 aa3
肯定	hang2 ding6
肯尼亞	hang2 nei4 aa3
行動電話	hang4 dung6 din6 waa2
行人	hang4 jan4
行人禁止	hang4 jan4 gam3 zi2
行人禁止通行	hang4 jan4 gam3 zi2 tung1 hang4
行人男	hang4 jan4 naam4
行人女	hang4 jan4 neoi5
行李	hang4 lei5
行李寄存	hang4 lei5 gei3 cyun4
行李領取	hang4 lei5 ling5 ceoi2
行李箱	hang4 lei5 soeng1
行事曆	hang4 si6 lik6
行星	hang4 sing1
幸運餅乾	hang6 wan6 beng2 gon1
幸運草	hang6 wan6 cou2
幸運曲奇	hang6 wan6 kuk1 kei4
瞌眼睏	hap1 ngaan5 fan3
瞌眼瞓	hap1 ngaan5 fan3
瞌眼睏	hap1 ngaan5 han3
瞌眼睏	hap1 ngaan5 kwan3
瞌睡	hap1 seoi6
合	hap6
盒	hap6
合意	hap6 ji3
合我心水	hap6 ngo5 sam1 seoi2
合心水	hap6 sam1 seoi2
合十	hap6 sap6
盒仔	hap6 zai2
合作	hap6 zok3
合作愉快	hap6 zok3 jyu4 faai3
乞嗤	hat1 ci1
乞巧	hat1 haau2
乞巧節	hat1 haau2 zit3
口紅	hau2 hung4
口罩	hau2 zaau3
口字框	hau2 zi6 hong1
猴	hau4
猴頭	hau4 tau4
後退	hau6 teoi3
豨	hei1
嘻嘻	hei1 hei1
希臘	hei1 laap6
起始符	hei2 ci2 fu4
起飛	hei2 fei1
